post_id,description
1,a white dress with a white blouse and white pants
2,a dress is a garment that is worn by a woman
3,a dress is a dress that is worn by a woman
4,a pair of jeans with a chanel logo on the side
5,a dress is a dress that is worn by a woman
6,a tweed jacket with a tweed jacket and a tweed jacket
7,a dress is a dress that is worn by a woman
8,a kimono is a garment that is worn by women
9,a dress is a dress that is worn by a woman
10,a bag is a bag that is used to carry a bag or other item
11,a dress is a dress that is worn by a woman
12,a t-shirt is a garment that is worn by a person to express their personality
13,a silver jacket with a sleeveless collar and a sleeveless collar
14,a t-shirt is a garment that is worn by a person to express their personality
15,a red dress is a dress that is red in color
16,a white tee shirt with a white blazer and white jeans
17,a black coat coat is a coat that is long and has a collar
18,a ring is a piece of jewelry that is worn on the finger or wrist
19,a fashion item is a piece of clothing that is worn by a person
20,a coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat
21,a white dress with a lace top and a slit
22,a t-shirt is a garment that is worn by a person to represent their identity
23,a t-shirt is a garment that is worn by a person to represent their identity
24,a dress is a dress that is worn by a woman
25,a white dress with a slit and a slit
26,a pair of jeans with a hat and a pair of boots
27,a pair of jeans shorts
28,a dress is a dress that is worn by a woman
29,a pair of striped shorts and a pair of striped shorts
30,a pair of khaki pants with a white blouse and a pair of white pants
31,a pair of jeans and a pair of sneakers
32,a pair of jeans and a t-shirt
33,a pair of jeans and a tee shirt
34,a t-shirt is a garment that is worn by a person to represent their identity
35,a pair of leggings is a pair of leggings that are made of fabric
36,a pair of jeans
37,a t-shirt is a piece of clothing that is worn by a person
38,a t-shirt is a piece of clothing that is worn on a shirt or a shirt
39,a t-shirt is a garment that is worn by a person
40,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person"
41,a white polka dot dress with a white polka dot top and white pants
42,a pair of jeans and a white blouse
43,a bikini is a piece of clothing worn by a woman
44,a t-shirt is a garment that is worn by a person to express their personality
45,a white dress with a white top and a white skirt
46,a t-shirt is a garment that is worn by a person to represent their identity
47,a white swimsuit is a swimsuit that is white in color
48,a woman wearing a black dress and a black ring
49,a woman in a white dress and a baby boy in a blue shirt
50,a pair of pants with a t-shirt and a pair of sneakers
51,a pair of purple pants with a thigh high top and a thigh high top
52,a pair of jeans with a t-shirt and a pair of jeans with a t-shirt
53,a hat is a fashion accessory that can be worn by a woman or a man
54,a tan sweater with a tan sweater and a pair of brown boots
55,a blue jumpsuit with a striped pattern and a sleeveless top
56,a white hoodie with a hood
57,a striped striped shirt with a striped striped shirt and a striped striped shirt
58,a dress is a garment worn by a woman
59,a swimsuit is a swimsuit that is worn by women
60,a pair of jeans with a tee and a tee
61,a dress is a piece of clothing worn by a woman
62,a bag is a bag that is used to carry a bag or other item of clothing
63,a white blazer is a blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer that is a white blazer
64,a bag is a bag that is used to carry a specific item of clothing or other items
65,a tweed jacket with a hood
66,a cape is a garment that is worn over a dress or top
67,a black coat coat is a coat that is long and has a collar
68,a black jumpsuit with a striped belt and a striped belt
69,a t-shirt with a t-shirt logo
70,a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a t-shirt and a pair of jeans with a 
71,a pair of shorts
72,a bikini is a piece of clothing worn by a woman
73,a hat is a fashion accessory that can be worn by a person
74,a shirt is a garment that is worn by a person to represent their identity
75,a shawl is a garment worn by a person to cover their body
76,a white shirt with a white tie and white pants
77,a t-shirt is a garment that is worn by a person
78,a bikini is a swimsuit that is worn by women
79,a dress is a dress that is worn by a woman
80,a t-shirt is a garment that is worn by a person to show their body
81,a white tee shirt with a heart embroidered on the front
82,a white blazer jacket is a white blazer jacket with a white blazer and white blazer
83,a t-shirt with a t-shirt and a pair of jeans
84,a hat is a fashion item that is worn by a person to look stylish
85,a t-shirt with a t-shirt and a pair of jeans
86,a woman wearing a dress with a hat and a scarf
87,a tee shirt with a tee shirt and a tee shirt
88,a trench coat is a long coat that has a long sleeve and a long sleeve
89,a tweed jacket is a jacket that is made of a fabric that is a tweed jacket
90,a white blazer is a white blazer that is a white blazer that is white
91,a dress is a garment worn by a woman
92,a pair of jeans and a pair of boots
93,a sleeveless dress with a sleeveless top and a sleeveless top
94,a black leather jacket with a hood
95,a t-shirt is a garment that is worn by a person to represent their own identity
96,a bikini is a swimsuit that is worn by women
97,a bikini is a swimsuit that is worn by women
98,a pair of jeans with a tee and a sweater
99,a pair of jeans shorts
100,a dress is a dress that is worn by a woman
101,a white dress with a slit in the front and a slit in the back
102,a sleeveless dress with a slit in the front
103,a pair of slouchy jeans and a pair of thigh high boots
104,a blouse is a piece of clothing worn by a woman
105,a dress is a garment worn by a woman
106,a t-shirt with a t-shirt and a pair of jeans
107,a t-shirt is a garment that is worn by a person to represent their identity
108,a dress is a dress that is worn by a woman
109,a t-shirt is a garment that is worn by a person to express their personality
