image_id,filename,description,fashion_description
1,1.jpg,"The image shows a young woman standing in the doorway of a room with a view of the ocean. She is wearing a white dress, a white blazer, and white sneakers. She has a pair of sunglasses on and is holding a palm tree in her hand. The room has white walls and a wooden floor. Through the doorway, we can see the ocean and palm trees. The sky is blue and the weather appears to be sunny and warm.","OUTFIT: white blazer, white dress | ACCESSORIES: sunglasses, ring, glasses, white sneakers"
10,10.jpg,The image shows a woman standing in front of a white building with green shutters. She is wearing a black long-sleeved shirt and grey pants. She has blonde hair and is carrying a brown and white crossbody bag. The woman is looking down at a small child who is standing next to her. The ground is covered in gravel and there are some plants and shrubs in the background.,"OUTFIT: grey pants, black long-sleeved shirt | ACCESSORIES: white crossbody, white crossbody bag, ring | STYLE: long-sleeved"
100,100.jpg,The image shows a woman standing in a subway station. She is wearing a long blue dress and a beige coat. She has long dark hair and is holding a phone in her hand. The station has a tiled floor and a large poster on the wall behind her. There are two doors on the right side of the image and a sign on the left side. The woman appears to be taking a photo or video of herself.,"OUTFIT: beige coat, blue dress | ACCESSORIES: ring"
101,101.jpg,"The image shows a young woman standing in a hallway. She is wearing a long white dress with a floral pattern and black sandals. She has long dark hair and is holding a green handbag in her right hand. On the right side of the image, there is a large abstract painting hanging on the wall. The painting is black and white and appears to be hand-drawn. The hallway has white walls and a wooden floor. There is a door on the left side and a vase on the floor.","OUTFIT: white dress, floral, abstract | ACCESSORIES: black sandals, green handbag, bag, ring"
102,102.jpg,"The image shows a young woman standing in a room with white walls and wooden flooring. She is wearing a long, flowy green dress with thin straps and a high neckline. The dress is cinched at the waist with a belt, and she is holding a small green purse in her left hand. She has long dark hair and is posing with one hand on her hip and the other resting on her head. In the background, there is a large mirror hanging on the wall and a wooden table with a woven basket on it. On the right side of the image, there are two round lamps with white shades. The overall style of the room is modern and minimalistic.","OUTFIT: green dress | ACCESSORIES: belt, ring, green purse | STYLE: high neckline, mini, flowy"
103,103.jpg,"The image shows two women sitting at a table outside a restaurant. The woman on the left is wearing a green dress and is holding a yellow purse in her hand. She is sitting on a black metal chair with her legs crossed and is looking off to the side with a serious expression on her face. The other woman is sitting next to her, wearing a black off-the-shoulder dress and carrying a yellow handbag. Both women are wearing high heels and appear to be relaxed and enjoying each other's company. The restaurant has a large window with white curtains and a chandelier hanging from the ceiling. The floor is tiled and there are other tables and chairs set up outside the restaurant.","OUTFIT: black off-the-shoulder dress | ACCESSORIES: heels, bag, yellow handbag, ring, high heels, yellow purse | STYLE: off-the-shoulder"
104,104.jpg,"The image shows a young woman standing in a kitchen, taking a selfie with her phone. She is wearing a bright yellow sleeveless top with a deep V-neckline and black wide-leg trousers. She has a woven green tote bag in her left hand and is wearing black sandals. The kitchen has wooden cabinets and a large window with white curtains. There is a wooden dining table and chairs in the background. The floor is covered with a beige area rug.","OUTFIT: black wide-leg, yellow sleeveless top, black wide-leg trousers | ACCESSORIES: green tote bag, black sandals, ring, green tote | STYLE: v-neckline, v-neck, sleeveless"
105,105.jpg,"The image shows an art gallery with a woman standing in the center of the room, facing the wall. She is wearing a gray sweater and black pants and is standing on a wooden floor. On the wall, there are several framed artworks hanging in a row. The artworks are of different sizes and colors, including portraits, paintings, and landscapes. The woman appears to be looking at one of the artworks with interest. The room is dimly lit with spotlights on the ceiling.","OUTFIT: gray sweater, black pants | ACCESSORIES: ring, cap"
106,106.jpg,"The image is a promotional poster for the TV show ""The Ferragnes: The Series."" The background is a light blue color with the show's title written in pink neon letters at the top. In the center of the image, there is a family of four - a man, a woman, and two young children - sitting on a bed. The man is on the left side of the bed, with his arms around the woman and the two children on the right side. The woman is wearing a black dress and has blonde hair, while the children are wearing black dresses. All four of them are smiling and looking at the camera.","OUTFIT: black dress, top | ACCESSORIES: ring"
107,107.jpg,"The image shows a young woman in a military uniform holding two young children in her arms. The woman is standing in a room with a large window on the left side of the image, through which we can see a view of a city skyline. The children are wearing casual clothes, with one wearing a white t-shirt and blue shorts, the other wearing a yellow shirt and green shorts, and the third wearing a blue shirt and white sneakers. They are all smiling and looking at the camera. The room appears to be empty, with no other furniture or decorations visible in the background.","OUTFIT: fur, white t-shirt, blue shorts, uniform, blue shirt | ACCESSORIES: ring, white sneakers"
108,108.jpg,"The image shows a mother and daughter holding hands and walking together. The mother is wearing a long-sleeved, floor-length dress with a high neckline and long sleeves. The dress is made up of multiple layers of gold sequins that create a geometric pattern. The daughter is also wearing a matching dress with long sleeves and a full skirt. They are both smiling and appear to be enjoying each other's company. The background is a plain grey color. The overall mood of the image is joyful and playful.","OUTFIT: skirt, dress, geometric, gold sequins | ACCESSORIES: hat, ring | STYLE: high neckline, floor-length, long-sleeved"
109,109.jpg,"The image is a selfie of a young woman and a young boy. The woman is sitting on a couch with her arm around the boy's shoulder. She is wearing a light blue tank top and has blonde hair styled in loose curls. The boy is also wearing a green t-shirt and has a tattoo on his arm. They are both smiling and looking at the camera. In the background, there is a window with a view of a city skyline.","OUTFIT: blue tank top, shirt, green t-shirt | ACCESSORIES: ring | STYLE: loose"
